Column,Total Count,Missing Count,Missing Percentage,Unique Values,Data Type,Top 3 Values,Mean,Median,Standard Deviation,Minimum,Maximum
BIA-Season,3960,1815,45.83%,4,object,"{'Summer': 669, 'Fall': 567, 'Spring': 513}",,,,,
BIA-BIA_Activity_Level_num,3960,1969,49.72%,5,float64,,2.65143144148669,3.0,1.0282671720332648,1.0,5.0
BIA-BIA_Frame_num,3960,1969,49.72%,3,float64,,1.7453540934203917,2.0,0.6806346895251477,1.0,3.0
DEE_Weight,3960,1969,49.72%,1991,float64,,inf,23.884435261707992,,9.18796992481203,inf
SMM_Height,3960,1969,49.72%,1990,float64,,0.5963400778406133,0.49796,1.5341139352389108,0.1040386592178771,66.80907407407408
BIA-BIA_BMI,3960,1969,49.72%,1803,float64,,19.367047798442997,17.9665,5.0478481934383534,0.0482667,53.9243
fitness_score,3960,2930,73.99%,10,float64,,6.262135922330097,6.0,2.17039522963873,2.0,11.0
Physical-BMI,3960,21,0.53%,3575,float64,,18.88446903793298,17.55410226,4.6472619876767,0.0,59.13204775
PreInt_EduHx-computerinternet_hoursday,3960,659,16.64%,4,float64,,1.0605877006967586,1.0,1.0948754543617427,0.0,3.0
BMR_BMI,3960,1969,49.72%,1990,float64,,65.49924752513446,62.00203972684916,109.43855470895396,27.794017316316474,4899.291494051415
DEE_BMI,3960,1969,49.72%,1991,float64,,109.48304582112323,101.68809550818868,165.38906358205128,43.28804206690813,7348.919565207473
SMM_BMI,3960,1969,49.72%,1991,float64,,1.7628571186269255,1.4962389757019505,4.843826083333789,0.27917848652512495,212.56352724491174
ICW_TBW,3960,1969,49.72%,1989,float64,,0.6448514310035295,0.6413717332619143,0.07210081189012943,0.4319010492170848,0.9130855011365182
sii,3960,0,0.00%,4,float64,,0.4053030303030303,0.0,0.6953983334921806,0.0,3.0
